Concepts count,Axioms count,Uncertain axioms count,SAT proportion mean,Time mean,SAT proportion std,Time std
60,0.18333333333333332,10,1.0,0.00042481422424316405,0.0,0.0002745027338034964
60,0.2,10,1.0,0.0004029679298400879,0.0,0.00021626100741930408
60,0.21666666666666667,10,1.0,0.00046962976455688476,0.0,0.0003025910375137865
60,0.23333333333333334,10,0.99,0.0004267764091491699,0.09949874371066196,0.00025206538925343774
60,0.25,10,0.98,0.0004274511337280273,0.13999999999999987,0.00017718430214133446
60,0.26666666666666666,10,0.99,0.00045760631561279295,0.09949874371066199,0.0002423177880978625
60,0.2833333333333333,10,1.0,0.00042116880416870117,0.0,0.00014234581348448775
60,0.3,10,1.0,0.0005247282981872558,0.0,0.00042693815226459825
60,0.31666666666666665,10,1.0,0.0004237794876098633,0.0,9.777879581372256e-05
60,0.3333333333333333,10,1.0,0.0004238390922546387,0.0,4.4612560568171945e-05
60,0.35,10,0.99,0.0004859590530395508,0.09949874371066196,0.0001494259476238241
60,0.36666666666666664,10,1.0,0.0004905080795288086,0.0,0.00022583817097179872
60,0.38333333333333336,10,0.99,0.0004703092575073242,0.09949874371066195,0.00011549395517687766
60,0.4,10,0.99,0.0005687785148620606,0.09949874371066195,0.00021897173975883268
60,0.4166666666666667,10,0.98,0.0006220555305480957,0.13999999999999987,0.0003221345852165409
60,0.43333333333333335,10,1.0,0.0005974459648132324,0.0,0.0002465852211820787
60,0.45,10,0.97,0.0008940029144287109,0.17058722109231972,0.0023229904224480605
60,0.4666666666666667,10,0.99,0.0006278252601623535,0.09949874371066195,0.00023469327975379078
60,0.48333333333333334,10,1.0,0.0009087252616882324,0.0,0.002358231299227777
60,0.5,10,1.0,0.0006415438652038574,0.0,0.0002387402392530464
60,0.5166666666666667,10,0.98,0.0006852674484252929,0.13999999999999987,0.00030490703517701553
60,0.5333333333333333,10,1.0,0.000929253101348877,0.0,0.0023741308795595093
60,0.55,10,0.98,0.0007014012336730957,0.13999999999999985,0.0003282723674457459
60,0.5666666666666667,10,0.95,0.0009463930130004883,0.21794494717703383,0.002428544585669867
60,0.5833333333333334,10,0.96,0.0007215118408203124,0.19595917942265428,0.00030221700238553683
60,0.6,10,0.99,0.0007079720497131347,0.09949874371066195,0.0002592875882445753
60,0.6166666666666667,10,0.98,0.0009229040145874024,0.13999999999999996,0.002353190423222226
60,0.6333333333333333,10,0.99,0.0007018923759460449,0.09949874371066199,0.000245676044571229
60,0.65,10,0.98,0.0009461736679077148,0.13999999999999993,0.0024512261861671385
60,0.6666666666666666,10,0.98,0.0007326102256774902,0.13999999999999993,0.000261620726005238
60,0.6833333333333333,10,0.97,0.0008112716674804687,0.17058722109231986,0.00040264811243497975
60,0.7,10,0.98,0.0009173750877380371,0.13999999999999987,0.0023522143897281877
60,0.7166666666666667,10,0.98,0.0006613349914550782,0.1399999999999999,0.00012639307913683094
60,0.7333333333333333,10,0.96,0.0006589555740356446,0.1959591794226542,0.000178871110739492
60,0.75,10,0.97,0.0006786465644836425,0.1705872210923197,9.574956850350444e-05
60,0.7666666666666667,10,0.95,0.0006852459907531739,0.2179449471770336,0.00017675499531101782
60,0.7833333333333333,10,0.94,0.0006985783576965332,0.23748684174075793,0.00012006945877036015
60,0.8,10,0.95,0.0007255673408508301,0.21794494717703375,0.00020147599339358924
60,0.8166666666666667,10,1.0,0.0007144236564636231,0.0,0.0001793186328899236
60,0.8333333333333334,10,0.97,0.0007209587097167969,0.1705872210923198,0.00018343449401230725
60,0.85,10,0.94,0.0007556915283203125,0.23748684174075793,0.00020693969877310118
60,0.8666666666666667,10,0.99,0.0007345294952392578,0.09949874371066195,0.00012379002457019647
60,0.8833333333333333,10,0.94,0.0007492828369140625,0.23748684174075801,0.00011483121953627017
60,0.9,10,0.91,0.0007693576812744141,0.28618176042508375,0.0001771492645654993
60,0.9166666666666666,10,0.93,0.0007673811912536621,0.25514701644346166,0.00017967570753244064
60,0.9333333333333333,10,0.94,0.0010715103149414062,0.2374868417407584,0.0027854659645921683
60,0.95,10,0.96,0.0007971000671386719,0.19595917942265415,0.0001861692267403877
60,0.9666666666666667,10,0.96,0.0010457682609558107,0.19595917942265428,0.0023982243145295188
60,0.9833333333333333,10,0.94,0.0008422636985778809,0.2374868417407582,0.0001975356050918508
60,1.0,10,0.91,0.0009154915809631347,0.2861817604250837,0.00030329806362815225
60,1.0166666666666666,10,0.94,0.0008268260955810547,0.23748684174075796,0.00013681421980567507
60,1.0333333333333334,10,0.87,0.0008664941787719727,0.3363034344160045,0.00021002490133326273
60,1.05,10,0.91,0.0011393141746520996,0.2861817604250835,0.0027962839932423283
60,1.0666666666666667,10,0.9,0.0008994555473327637,0.2999999999999998,0.00022348130403595796
60,1.0833333333333333,10,0.9,0.0011683297157287597,0.29999999999999977,0.003000575062923895
60,1.1,10,0.9,0.0009721636772155762,0.2999999999999998,0.00030992111225869757
60,1.1166666666666667,10,0.91,0.0009450912475585938,0.2861817604250836,0.0002732050471883404
60,1.1333333333333333,10,0.9,0.0011616992950439454,0.2999999999999998,0.0024296966460544715
60,1.15,10,0.88,0.0011736440658569336,0.32496153618543866,0.0024310805283889246
60,1.1666666666666667,10,0.88,0.0009970569610595703,0.32496153618543855,0.0003622751565729716
60,1.1833333333333333,10,0.85,0.0009315133094787598,0.3570714214271429,0.00014125496352503837
60,1.2,10,0.85,0.0012512850761413575,0.3570714214271427,0.0024986568143481012
60,1.2166666666666666,10,0.89,0.0009785270690917968,0.3128897569432404,0.0001987510647716066
60,1.2333333333333334,10,0.85,0.0009773468971252441,0.3570714214271428,0.000157109678918071
60,1.25,10,0.82,0.0009984159469604492,0.3841874542459713,0.0001365381476336063
60,1.2666666666666666,10,0.88,0.0010274171829223633,0.32496153618543866,0.00022290356840350129
60,1.2833333333333334,10,0.85,0.0010458850860595704,0.3570714214271429,0.00021365486146532927
60,1.3,10,0.83,0.0012929439544677734,0.3756327994198591,0.002389282939181707
60,1.3166666666666667,10,0.78,0.0013521242141723633,0.4142463035441593,0.0026457800513381294
60,1.3333333333333333,10,0.79,0.0013547754287719727,0.40730823708832625,0.0024510202043659833
